model,f1,precision,recall
FastText,0.6688826217195413,0.6781136777277331,0.6677436125965538
TextCNN,0.6259049541003963,0.6382949298911658,0.6289364230540702
TextRNN,0.6698578752270248,0.6815169738079606,0.673432214415821
TextRCNN,0.6630894064072835,0.679366991394434,0.6671758569299553
DRNN,0.606240062335459,0.6288496422706982,0.6121739780285479
TextVDCNN,0.360819740885805,0.47326607545380567,0.5355058592838134
DPCNN,0.6254019334149283,0.6408176497090647,0.6322489391796322
AttentiveConvNet,0.6197032975238436,0.6368499405611325,0.6263678999478896
Transformer,0.6465202719632658,0.659783788498163,0.6484215223292307
